Experiment;1;t;x;y;2;;;;3
;;1200.161;0.006507022;0.03108883;;;;;
;;1203.494;0.006583451;0.03095739;;;;;
;;1206.826;0.006746118;0.03106729;;;;;
;;1210.159;0.006705651;0.03110844;;;;;
;;1213.491;0.0067553;0.03098208;;;;;
;;1216.824;0.00663791;0.03120312;;;;;
;;1220.156;0.008645175;0.03177462;;;;;
;;1223.489;0.006861299;0.03167897;;;;;
;;1226.821;0.008666253;0.03209144;;;;;
;;1230.154;0.008847421;0.03237643;;;;;
;;1233.486;0.009024458;0.03239701;;;;;
;;1236.819;0.008837769;0.032392;;;;;
;;1240.151;0.009640186;0.03271617;;;;;
;;1243.484;0.005076005;0.0321554;;;;;
;;1246.816;0.008437793;0.03277612;;;;;
;;1250.149;0.006633014;0.03253458;;;;;
;;1253.481;0.006611347;0.032552;;;;;
;;1256.814;0.009236643;0.03314843;;;;;
;;1260.146;0.0084356;0.03298655;;;;;
;;1263.479;0.0078735;0.03289642;;;;;
;;1266.811;0.007688056;0.03293778;;;;;
;;1270.143;0.007108278;0.03334541;;;;;
;;1273.476;0.008746671;0.03325008;;;;;
;;1276.808;0.007839131;0.03319138;;;;;
;;1280.141;0.007347946;0.0330579;;;;;
;;1283.473;0.007699336;0.03320636;;;;;
;;1286.806;0.006433891;0.03314574;;;;;
;;1290.138;0.008134221;0.0333795;;;;;
;;1293.471;0.006266179;0.03341857;;;;;
;;1296.803;0.006256627;0.03342606;;;;;
;;1300.136;0.00613886;0.03354663;;;;;
;;1303.468;0.00618882;0.03356994;;;;;
;;1306.801;0.007074796;0.03375416;;;;;
;;1310.133;0.005737068;0.03370129;;;;;
;;1313.466;0.007395374;0.03379294;;;;;
;;1316.798;0.005796851;0.03384059;;;;;
;;1320.164;0.005639041;0.03383484;;;;;
;;1323.497;0.006093695;0.03387208;;;;;
;;1326.829;0.006091922;0.03398911;;;;;
;;1330.195;0.006329856;0.03417636;;;;;
;;1333.527;0.005604499;0.03427946;;;;;
;;1336.86;0.006002746;0.03443679;;;;;
;;1340.192;0.00533777;0.03440768;;;;;
;;1343.525;0.007570117;0.03468619;;;;;
;;1346.857;0.00606997;0.03448169;;;;;
;;1350.19;0.005685625;0.0345874;;;;;
;;1353.522;0.005623715;0.03456679;;;;;
;;1356.855;0.006016904;0.03453058;;;;;
;;1360.187;0.002369841;0.03484033;;;;;
;;1363.52;0.007522451;0.03523005;;;;;
;;1366.852;0.002697722;0.03488203;;;;;
;;1370.185;0.00623448;0.03462099;;;;;
;;1373.517;0.007931823;0.03483971;;;;;
;;1376.85;0.006546114;0.03481143;;;;;
;;1380.182;0.006318269;0.03489533;;;;;
;;1383.515;0.005982472;0.03504861;;;;;
;;1386.847;0.007063166;0.03523629;;;;;
;;1390.18;0.006760658;0.03523195;;;;;
;;1393.512;0.006039347;0.03503561;;;;;
;;1396.845;0.00787745;0.03540832;;;;;
;;1400.177;0.006231454;0.03518615;;;;;
;;1403.51;0.006032083;0.03517866;;;;;
;;1406.842;0.006048594;0.03520062;;;;;
;;1410.175;0.007648344;0.03527418;;;;;
;;1413.507;0.008018812;0.03541798;;;;;
;;1416.839;0.01003731;0.03568251;;;;;
;;1420.205;0.006116891;0.03542253;;;;;
;;1423.538;0.006454391;0.03534836;;;;;
;;1426.87;0.007928682;0.03556682;;;;;
;;1430.203;0.007551333;0.03569851;;;;;
;;1433.535;0.007275575;0.03554013;;;;;
;;1436.868;0.007628117;0.03581094;;;;;
;;1440.2;0.009435492;0.03592981;;;;;
;;1443.533;0.007051688;0.0356699;;;;;
;;1446.865;0.007053068;0.03567442;;;;;
;;1450.198;0.006085299;0.03588704;;;;;
;;1453.53;0.009670525;0.0359575;;;;;
;;1456.863;0.007471511;0.03575173;;;;;
;;1460.195;0.005843374;0.03586934;;;;;
;;1463.528;0.008515476;0.03605904;;;;;
;;1466.86;0.00558382;0.03599585;;;;;
;;1470.193;0.005385572;0.0357452;;;;;
;;1473.525;0.007676875;0.03590892;;;;;
;;1476.858;0.004961805;0.03617949;;;;;
;;1480.19;0.00464922;0.03628103;;;;;
;;1483.523;0.008129024;0.03620604;;;;;
;;1486.855;0.007062308;0.0362151;;;;;
;;1490.221;0.007155392;0.0362438;;;;;
;;1493.553;0.009839312;0.03596885;;;;;
;;1496.886;0.008466236;0.03694366;;;;;
;;1500.218;0.007619489;0.03684961;;;;;
;;1503.584;0.004350337;0.03542877;;;;;
;;1506.917;0.006509475;0.03631324;;;;;
;;1510.249;0.005163648;0.03603437;;;;;
;;1513.582;0.0065245;0.03639856;;;;;
;;1516.914;0.00661328;0.03584025;;;;;
;;1520.247;0.006486554;0.03629991;;;;;
;;1523.579;0.006464723;0.0363858;;;;;
;;1526.911;0.005621645;0.03643666;;;;;
;;1530.244;0.004694475;0.03612525;;;;;
;;1533.576;0.004576707;0.03636518;;;;;
;;1536.909;0.005931907;0.035771;;;;;
;;1540.241;0.000606162;0.03630396;;;;;
;;1543.574;0.000536384;0.03612925;;;;;
;;1546.906;0.002688073;0.03565167;;;;;
;;1550.239;0.002356753;0.03552633;;;;;
;;1553.571;0.005168698;0.03694386;;;;;
;;1556.904;0.005878274;0.03734227;;;;;
;;1560.236;0.001778465;0.03610411;;;;;
;;1563.569;-0.001317646;0.03712346;;;;;
;;1566.901;-0.001164646;0.03717208;;;;;
;;1570.234;0.003183031;0.03621283;;;;;
;;1573.566;0.00344667;0.03728944;;;;;
;;1576.899;0.009084438;0.03680916;;;;;
;;1580.231;0.01010208;0.03682182;;;;;
;;1583.564;0.01146156;0.03666079;;;;;
;;1586.896;0.01034172;0.03659705;;;;;
;;1590.229;0.004247188;0.03746683;;;;;
;;1593.561;0.001427448;0.03775594;;;;;
;;1596.894;0.004117624;0.03747022;;;;;
;;1600.226;0.01038654;0.03675019;;;;;
;;1603.559;0.01158105;0.03637892;;;;;
;;1606.891;0.009699399;0.0367052;;;;;
;;1610.224;0.01031638;0.03687688;;;;;
;;1613.556;0.01016973;0.03687132;;;;;
;;1616.889;0.006093762;0.0372288;;;;;
