Experiment;1;t;x;y;2;t;x;y;3;;;;
;;433.22366;0.00887;0.0186;;533.3307889;0.130034246;0.063617802;;;;;
;;436.55615;0.01;0.0189;;536.6632889;0.130574358;0.063727368;;;;;
;;439.88864;0.00997;0.0189;;539.9957667;0.130601768;0.063759014;;;;;
;;443.22113;0.00419;0.019;;543.3282556;0.13053878;0.063638662;;;;;
;;446.55362;0.00835;0.0188;;546.6607111;0.130355307;0.063709055;;;;;
;;449.88611;0.00617;0.0186;;549.9932111;0.130695096;0.063852563;;;;;
;;453.2186;0.0079;0.0189;;553.3257111;0.130966893;0.063748341;;;;;
;;456.55109;0.00543;0.0187;;556.6581889;0.130776841;0.063851656;;;;;
;;459.88358;0.00797;0.0191;;559.9906556;0.128888007;0.06425304;;;;;
;;463.21607;0.00625;0.019;;563.3231556;0.131064228;0.064037249;;;;;
;;466.54856;0.00967;0.0192;;566.6556889;0.130831239;0.063875721;;;;;
;;469.88105;0.0078;0.0192;;569.9881222;0.129735846;0.063960745;;;;;
;;473.21354;0.00419;0.0191;;573.3539667;0.130051828;0.064241106;;;;;
;;476.54603;0.00658;0.019;;576.6864222;0.130151905;0.064358458;;;;;
;;479.87852;0.00906;0.0194;;580.0189;0.127305572;0.06502614;;;;;
;;483.21101;0.00876;0.0194;;583.3513889;0.129152493;0.064723093;;;;;
;;486.5435;0.00597;0.0191;;586.6838778;0.127684507;0.064915524;;;;;
;;489.87599;0.00602;0.0191;;590.0163667;0.128388817;0.065202046;;;;;
;;493.20848;0.00876;0.0194;;593.3488444;0.129530597;0.065052002;;;;;
;;496.54097;0.0061;0.019;;596.6813333;0.128359743;0.065313803;;;;;
;;499.87346;0.00936;0.0195;;600.0138333;0.128278193;0.065219459;;;;;
;;503.20595;0.00642;0.019;;603.3465;0.128040401;0.065441344;;;;;
;;506.53844;0.00669;0.019;;606.6788;0.128529721;0.065352994;;;;;
;;509.87093;0.00659;0.019;;610.0112889;0.126767203;0.065741372;;;;;
;;513.20342;0.00497;0.0191;;613.3437556;0.128651647;0.065359836;;;;;
;;516.53591;0.00497;0.0191;;616.6762444;0.128764195;0.065477675;;;;;
;;519.8684;0.00391;0.0189;;620.0087333;0.128666576;0.065471936;;;;;
;;523.20089;0.00489;0.0191;;623.3412222;0.130495508;0.065342164;;;;;
;;526.53338;0.00425;0.019;;626.6737333;0.126439712;0.066361618;;;;;
;;529.86587;0.00414;0.019;;630.0062889;0.130764099;0.065466972;;;;;
;;533.19836;0.0104;0.02;;633.3386778;0.130530637;0.065356675;;;;;
;;536.53085;0.00222;0.0198;;636.6711667;0.130871473;0.06546925;;;;;
;;539.86334;0.00662;0.0198;;640.0036667;0.131223191;0.065505062;;;;;
;;543.19583;0.00917;0.02;;643.3361222;0.130971214;0.065459532;;;;;
;;546.52832;0.00696;0.0199;;646.6686111;0.131205934;0.065504222;;;;;
;;549.86081;0.00725;0.0201;;650.0011;0.131336743;0.065511908;;;;;
;;553.1933;0.00699;0.0203;;653.3335889;0.131027596;0.065623299;;;;;
;;556.52579;0.00333;0.0209;;656.6660667;0.1311422;0.065631337;;;;;
;;559.85828;0.00753;0.021;;659.9985556;0.130449013;0.065814705;;;;;
;;563.19077;0.00224;0.021;;663.3310333;0.130428413;0.065946219;;;;;
;;566.52326;0.00954;0.0206;;666.6635333;0.130346275;0.065932063;;;;;
;;569.85575;0.00222;0.021;;669.996;0.130146477;0.066210599;;;;;
;;573.18824;0.0111;0.0207;;673.3285111;0.130044423;0.066274947;;;;;
;;576.52073;0.00701;0.0211;;676.6609889;0.130532966;0.066321633;;;;;
;;579.85322;0.0103;0.021;;679.9934667;0.129486749;0.066513922;;;;;
;;583.18571;0.00934;0.0211;;683.3259778;0.12954867;0.066620397;;;;;
;;586.5182;0.00874;0.0212;;686.6584444;0.13023349;0.06643594;;;;;
;;589.85069;0.0101;0.0212;;689.9909111;0.130580967;0.066467042;;;;;
;;593.18318;0.00755;0.0211;;693.3234111;0.130291925;0.066538881;;;;;
;;596.51567;0.00783;0.0211;;696.6558889;0.129565107;0.067021301;;;;;
;;599.84816;0.00264;0.0213;;699.9883778;0.128527831;0.067070214;;;;;
;;603.18065;0.00954;0.0215;;703.3208667;0.129313088;0.066870141;;;;;
;;606.51314;0.00902;0.0222;;706.6533444;0.129228585;0.066988289;;;;;
;;609.84563;0.0043;0.0219;;709.9858444;0.129488928;0.066908705;;;;;
;;613.17812;0.00289;0.0219;;713.3183222;0.129234715;0.067008132;;;;;
;;616.51061;0.00453;0.022;;716.6508111;0.129221564;0.067121141;;;;;
;;619.8431;0.0101;0.0222;;719.9832778;0.129173213;0.067104353;;;;;
;;623.17559;0.011;0.0234;;723.3491;0.129028528;0.067335761;;;;;
;;626.50808;0.011;0.0234;;726.6816;0.130847718;0.067180834;;;;;
;;629.84057;0.00791;0.0217;;730.0140667;0.12892871;0.067343655;;;;;
;;633.17306;0.00977;0.0221;;733.3465667;0.128379279;0.067546435;;;;;
;;636.50555;0.00776;0.022;;736.6790444;0.130715454;0.067186784;;;;;
;;639.83804;0.00892;0.0227;;740.0115333;0.130930494;0.067117831;;;;;
;;643.17053;0.0036;0.0222;;743.3440222;0.130936342;0.067208849;;;;;
;;646.50302;0.00924;0.0227;;746.6765;0.130990967;0.067209588;;;;;
;;649.83551;0.00999;0.0224;;750.0089778;0.130841333;0.067300337;;;;;
;;653.168;0.00777;0.0217;;753.3748111;0.130497417;0.067288058;;;;;
;;656.50049;0.00834;0.0227;;756.7072778;0.130561591;0.067307934;;;;;
;;659.83298;0.0104;0.0219;;760.0398111;0.130527739;0.067425204;;;;;
;;663.16547;0.0105;0.022;;763.3722444;0.130679525;0.067443132;;;;;
;;666.49796;0.00877;0.0219;;766.7048;0.130118539;0.067650948;;;;;
;;669.83045;0.00995;0.022;;770.0372556;0.129955024;0.067757896;;;;;
;;673.16294;0.00919;0.022;;773.3697111;0.130467931;0.067793204;;;;;
;;676.49543;0.00872;0.0219;;776.7022;0.13025384;0.067895172;;;;;
;;679.82792;0.0107;0.022;;780.0346889;0.130686238;0.06791621;;;;;
;;683.16041;0.0106;0.022;;783.3671556;0.130626759;0.068060559;;;;;
;;686.4929;0.0104;0.022;;786.6996778;0.131138583;0.06796734;;;;;
;;689.82539;0.0106;0.0222;;790.0321556;0.130960753;0.067938496;;;;;
;;693.15788;0.00662;0.0217;;793.3646111;0.131811042;0.067865109;;;;;
;;696.49037;0.0067;0.0217;;796.6971111;0.131717082;0.06798059;;;;;
;;699.82286;0.00656;0.0217;;800.0295889;0.131428873;0.06797075;;;;;
;;703.15535;0.00631;0.0216;;803.3620778;0.131625335;0.067975631;;;;;
;;706.48784;0.00667;0.0217;;806.6945667;0.130644031;0.068180576;;;;;
;;709.82033;0.000379;0.0237;;810.0270556;0.130118175;0.068404952;;;;;
;;713.15282;0.00495;0.0226;;813.3595333;0.130566101;0.068279242;;;;;
;;716.48531;0.0000806;0.0238;;816.6920444;0.130778545;0.068412533;;;;;
;;719.8178;0.00929;0.0238;;820.0245;0.131276623;0.068448747;;;;;
;;723.15029;0.00733;0.0225;;823.3569889;0.130975089;0.068698346;;;;;
;;726.48278;0.0078;0.0223;;826.6894778;0.131466508;0.06883589;;;;;
;;729.81527;0.011;0.0234;;830.0219667;0.131344114;0.069090431;;;;;
;;733.14776;0.0108;0.0235;;833.3544444;0.131018533;0.069165715;;;;;
;;736.48025;0.0105;0.0235;;836.687;0.131272643;0.069192887;;;;;
;;739.81274;0.00637;0.0226;;840.0194333;0.131077626;0.069318845;;;;;
;;743.14523;0.00662;0.0226;;843.3519;0.130224916;0.06974984;;;;;
;;746.47772;0.00636;0.0227;;846.6843778;0.130367876;0.069766566;;;;;
;;749.81021;0.0062;0.0226;;850.0168667;0.130009366;0.069614907;;;;;
;;753.1427;0.00773;0.0226;;853.3493556;0.130563968;0.069656376;;;;;
;;756.47519;0.0063;0.0226;;856.6818889;0.130562946;0.069653329;;;;;
;;759.80768;0.00627;0.0226;;860.0143222;0.131249851;0.069555154;;;;;
;;763.14017;0.00621;0.0226;;863.3468111;0.130920843;0.069668425;;;;;
;;766.47266;0.00743;0.0226;;866.6793;0.130797052;0.069790409;;;;;
;;769.80515;0.0063;0.0224;;870.0117889;0.130483197;0.069756667;;;;;
;;773.13764;0.00546;0.0234;;873.3442667;0.130247709;0.069860553;;;;;
;;776.47013;0.00687;0.0234;;876.6767444;0.130496014;0.069767585;;;;;
;;779.80262;0.00695;0.0236;;880.0092444;0.130176161;0.069742161;;;;;
;;783.13511;0.00691;0.0238;;883.3417333;0.130271406;0.070011003;;;;;
;;786.4676;0.00657;0.0239;;886.6742222;0.130258269;0.069996746;;;;;
;;789.80009;0.00647;0.024;;890.0067111;0.13049925;0.069908678;;;;;
;;793.13258;0.00612;0.024;;893.3391778;0.130472054;0.069896476;;;;;
;;796.46507;0.00691;0.0241;;896.6717111;0.129836485;0.070086964;;;;;
;;799.79756;0.00698;0.0242;;900.0042;0.13010218;0.07010125;;;;;
;;803.13005;0.0072;0.0244;;903.3367444;0.130214093;0.07024187;;;;;
;;806.46254;0.00623;0.0244;;906.6691667;0.130350177;0.070251423;;;;;
;;809.79503;0.00707;0.0244;;910.0016111;0.130402994;0.070266289;;;;;
;;813.12752;0.0104;0.0253;;913.3341222;0.130635303;0.070288704;;;;;
;;816.46001;0.0108;0.0254;;916.6665778;0.129755235;0.070603278;;;;;
;;819.7925;0.0107;0.0254;;919.9990778;0.130877791;0.070530835;;;;;
;;823.12499;0.0106;0.0253;;923.3315444;0.130943;0.070532437;;;;;
;;826.45748;0.011;0.0254;;926.6640333;0.130823616;0.070637883;;;;;
;;829.78997;0.0104;0.0254;;929.9965222;0.131085925;0.070666994;;;;;
;;833.12246;0.00655;0.0249;;933.329;0.131033838;0.070656355;;;;;
;;836.45495;0.00743;0.0251;;936.6615;0.129120837;0.071434272;;;;;
;;839.78744;0.00628;0.0249;;939.9939889;0.129418064;0.071423158;;;;;
;;843.11993;0.00634;0.025;;943.3264444;0.130681949;0.071010935;;;;;
;;846.45242;0.00641;0.0249;;946.6589556;0.130542504;0.071013023;;;;;
