Experiment;1;t;x;y;2;t;x;y;3;t;x;y;
;;1439.63564;0.00944;0.0359;;1540.107944;0.128542428;0.078653554;;738.1333333;0.127643728;0.046561332;
;;1442.96813;0.00705;0.0357;;1543.440433;0.128692717;0.078674302;;739.2;0.127581452;0.046560268;
;;1446.30062;0.00705;0.0357;;1546.772911;0.128637481;0.078650619;;740.2666667;0.127772271;0.046642449;
;;1449.63311;0.00609;0.0359;;1550.105411;0.128804186;0.07868315;;741.3333333;0.127767089;0.046639164;
;;1452.9656;0.00967;0.036;;1553.437889;0.127885106;0.078724364;;742.4;0.127866234;0.046666748;
;;1456.29809;0.00747;0.0358;;1556.770367;0.128671172;0.078662792;;743.4666667;0.127672976;0.046754439;
;;1459.63058;0.00584;0.0359;;1560.102856;0.128533577;0.078654095;;744.5333333;0.12771685;0.046765281;
;;1462.96307;0.00852;0.0361;;1563.435344;0.128638142;0.078644997;;745.6;0.127691306;0.046837238;
;;1466.29556;0.00558;0.036;;1566.767856;0.128589449;0.078650432;;746.6666667;0.127564976;0.046873952;
;;1469.62805;0.00539;0.0357;;1570.100311;0.128473093;0.078638563;;747.7333333;0.127531289;0.046873539;
;;1472.96054;0.00768;0.0359;;1573.432811;0.128691141;0.078672924;;748.8;0.127594754;0.047028351;
;;1476.29303;0.00496;0.0362;;1576.765267;0.128788057;0.078798494;;749.8666667;0.127513383;0.047037199;
;;1479.62552;0.00465;0.0363;;1580.1311;0.128633656;0.078768316;;750.9333333;0.127752575;0.047114575;
;;1482.95801;0.00813;0.0362;;1583.463656;0.12865377;0.07877084;;752;0.127675631;0.047059673;
;;1486.2905;0.00706;0.0362;;1586.796078;0.128568772;0.078658779;;753.0666667;0.127858945;0.047112068;
;;1489.62299;0.00716;0.0362;;1590.128544;0.128506171;0.078654905;;754.1333333;0.12772188;0.047128498;
;;1492.95548;0.00984;0.036;;1593.461033;0.128890902;0.078677681;;755.2;0.127812204;0.047104411;
;;1496.28797;0.00847;0.0369;;1596.793522;0.128816159;0.07867699;;756.2666667;0.12778367;0.047172253;
;;1499.62046;0.00762;0.0368;;1600.126011;0.128581048;0.078659381;;757.3333333;0.127920807;0.047283383;
;;1502.95295;0.00435;0.0354;;1603.458489;0.128470608;0.078653162;;758.4;0.127897239;0.047226374;
;;1506.28544;0.00651;0.0363;;1606.791011;0.128629026;0.078658648;;759.4666667;0.127711284;0.047182404;
;;1509.61793;0.00516;0.036;;1610.123456;0.128692995;0.078667951;;760.5333333;0.127946137;0.04731572;
;;1512.95042;0.00652;0.0364;;1613.456011;0.128280179;0.07874949;;761.6;0.128110757;0.047408564;
;;1516.28291;0.00661;0.0358;;1616.788456;0.128715297;0.078675781;;762.6666667;0.127903285;0.047356977;
;;1519.6154;0.00649;0.0363;;1620.120933;0.128542881;0.078655493;;763.7333333;0.127874852;0.047339822;
;;1522.94789;0.00646;0.0364;;1623.4534;0.128667646;0.07866255;;764.8;0.127915997;0.04735736;
;;1526.28038;0.00562;0.0364;;1626.785989;0.128667252;0.078658986;;765.8666667;0.127825573;0.047281692;
;;1529.61287;0.00469;0.0361;;1630.118367;0.128680617;0.078781589;;766.9333333;0.127868155;0.047346901;
;;1532.94536;0.00458;0.0364;;1633.450867;0.128654665;0.078777457;;768;0.12795175;0.047340742;
;;1536.27785;0.00593;0.0358;;1636.783344;0.128742263;0.078775935;;769.0666667;0.128002212;0.047400182;
;;1539.61034;0.000606;0.0363;;1640.115833;0.128557539;0.078658775;;770.1333333;0.128046403;0.047514608;
;;1542.94283;0.000536;0.0361;;1643.448344;0.128549523;0.078654321;;771.2;0.127951522;0.047466731;
;;1546.27532;0.00269;0.0357;;1646.780811;0.128345602;0.078644193;;772.2666667;0.127812009;0.047469486;
;;1549.60781;0.00236;0.0355;;1650.113289;0.128562111;0.07877396;;773.3333333;0.127800992;0.047477273;
;;1552.9403;0.00517;0.0369;;1653.445767;0.128577097;0.078674156;;774.4;0.128004932;0.047579197;
;;1556.27279;0.00588;0.0373;;1656.778289;0.128629485;0.078655114;;775.4666667;0.128068686;0.047654797;
;;1559.60528;0.00178;0.0361;;1660.110778;0.128683485;0.078674277;;776.5333333;0.127861409;0.047554255;
;;1562.93777;-0.00132;0.0371;;1663.443233;0.128677357;0.078673991;;777.6;0.127831899;0.04750786;
;;1566.27026;-0.00116;0.0372;;1666.775722;0.128413395;0.078636269;;778.6666667;0.127959832;0.047601023;
;;1569.60275;0.00318;0.0362;;1670.1082;0.128579162;0.078666297;;779.7333333;0.127852864;0.047544283;
;;1572.93524;0.00345;0.0373;;1673.440689;0.128616076;0.07866219;;780.8;0.12779964;0.047574856;
;;1576.26773;0.00908;0.0368;;1676.773156;0.128688846;0.078663292;;781.8666667;0.127845983;0.047613726;
;;1579.60022;0.0101;0.0368;;1680.105656;0.128654613;0.078658712;;782.9333333;0.127889685;0.047596336;
;;1582.93271;0.0115;0.0367;;1683.438167;0.128690803;0.078678765;;784;0.127906949;0.047642046;
;;1586.2652;0.0103;0.0366;;1686.770633;0.128704791;0.078680722;;785.0666667;0.127861602;0.047634023;
;;1589.59769;0.00425;0.0375;;1690.103133;0.128600121;0.078754489;;786.1333333;0.127790119;0.047617401;
;;1592.93018;0.00143;0.0378;;1693.4356;0.128865559;0.078677894;;787.2;0.127789855;0.047601406;
;;1596.26267;0.00412;0.0375;;1696.768111;0.128883594;0.078788424;;788.2666667;0.127840431;0.04762305;
;;1599.59516;0.0104;0.0368;;1700.100567;0.128772188;0.078679646;;789.3333333;0.127901158;0.047704964;
;;1602.92765;0.0116;0.0364;;1703.433056;0.128590209;0.078661063;;790.4;0.12786131;0.047743053;
;;1606.26014;0.0097;0.0367;;1706.765544;0.128744935;0.078667966;;791.4666667;0.127829031;0.047754296;
;;1609.59263;0.0103;0.0369;;1710.098022;0.129091191;0.078692176;;792.5333333;0.127818907;0.04778736;
;;1612.92512;0.0102;0.0369;;1713.430511;0.128906484;0.078677884;;793.6;0.127785599;0.047804885;
;;1616.25761;0.00609;0.0372;;1716.763056;0.12882679;0.078672466;;794.6666667;0.12776057;0.047782499;
;;;;;;1720.0955;0.12873564;0.078654964;;795.7333333;0.127970734;0.04790065;
;;;;;;1723.427967;0.12907422;0.078698332;;796.8;0.127848669;0.047869219;
;;;;;;1726.760456;0.12899538;0.078686187;;797.8666667;0.127819742;0.047854406;
